id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140178,2.26247583101814,About half the time,Kamala Harris,Disapprove not strongly,Approve not strongly,Approve not strongly,Strong Democrat,75,High school credential,Hispanic,Woman,95000
140180,0.647349867058206,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,80,Graduate degree,"White, non-Hispanic",Woman,85000
140181,1.50293635436276,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve strongly,Strong Democrat,80,Graduate degree,"Black, non-Hispanic",Woman,162500
140183,4.32526101076371,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Independent-Republican,35,High school credential,"White, non-Hispanic",Woman,62500
140185,0.142521798918679,Some of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,73,Graduate degree,Hispanic,Woman,26250
140187,0.696615963705052,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,27,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,32500
140188,0.422150925282538,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve strongly,Strong Democrat,65,Graduate degree,"White, non-Hispanic",Man,77500
140189,0.636199962263812,Always,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Strong Democrat,61,Graduate degree,"White, non-Hispanic",Nonbinary,250000
140190,0.389606375989303,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,37,Graduate degree,"White, non-Hispanic",Woman,162500
140191,0.294436647673145,Most of the time,Kamala Harris,Disapprove strongly,Approve strongly,Approve strongly,Independent,79,Bachelor’s degree,"White, non-Hispanic",Woman,2500
140192,0.323421061039172,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,75,Graduate degree,"White, non-Hispanic",Man,57500
140193,0.918293518336054,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,54,Bachelor’s degree,"White, non-Hispanic",Man,105000
140194,2.49243291478066,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,75,High school credential,"White, non-Hispanic",Woman,117500
140196,1.89568764783526,Some of the time,NA,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Not very strong Republican,26,High school credential,Hispanic,Man,72500
140197,0.314279468520921,Some of the time,NA,Disapprove not strongly,Approve strongly,Disapprove not strongly,Not very strong Republican,28,"Some post-high school, no bachelor’s degree",Hispanic,Man,105000
